stock_code,stock_name
300476,胜宏科技
600522,中天科技
600255,鑫科材料
688818,电科蓝天
000001,平安银行
000002,万科A
000333,美的集团
000651,格力电器
000858,五粮液
000725,京东方A
002241,歌尔股份
002415,海康威视
002475,立讯精密
002594,比亚迪
300059,东方财富
300274,阳光电源
300750,宁德时代
300760,迈瑞医疗
600000,浦发银行
600009,上海机场
600036,招商银行
600276,恒瑞医药
600519,贵州茅台
600690,海尔智家
600887,伊利股份
600900,长江电力
601012,隆基绿能
601318,中国平安
601398,工商银行
601857,中国石油
688981,中芯国际
